id,comment,zoneid,tips
1,监狱废墟托托·拉克千狱,1039,老三尾部出来后集火
2,地下灵殿塔姆·塔拉墓园,,
3,封锁坑道铜铃铜山,,
4,天然要害沙斯塔夏溶洞,1036,
5,毒雾洞窟黄金谷,,
6,名门府邸静语庄园,,
7,魔兽领域日影地修炼所,162,打火苗|老三转火火元精
8,休养胜地布雷福洛克斯野营地,1041,进门跟左边哥布林对话拿钥匙|老二前小怪可以绕
9,古代遗迹喀恩埋没圣堂,,
10,神灵圣域放浪神古神殿,,
11,对龙城塞石卫塔,,
12,流沙迷宫樵鸣洞,,
13,山中战线泽梅尔要塞,,
14,邪教驻地无限城古堡,,
15,神兵要塞帝国南方堡,,
16,天幕魔导城最终决战,,
17,领航明灯天狼星灯塔,,
18,骚乱坑道铜铃铜山,,
19,恶灵府邸静语庄园,,
20,纷争要地布雷福洛克斯野营地,,
21,剑斗领域日影地修炼所,,
22,腐坏遗迹无限城市街古迹,,
23,财宝传说破舰岛,,
24,惨剧灵殿塔姆·塔拉墓园,,
25,激战城塞石卫塔,,
26,苏醒遗迹喀恩埋没圣堂,,
27,凛冽洞天披雪大冰壁,371,老一不打小怪，让BOSS AOE打小怪|老三让自己被冻在冰柱后面
28,逆转要害沙斯塔夏溶洞,,
29,邪念妖地无限城古堡,,
30,武装圣域放浪神古神殿,188,老一转火枪|路上拉出旗帜|老二有四种buff，变蛙再踩一次变回来，&nbsp;D踩伤害增高，否则会被BOSS吃|老三战旗拉开，祭器打掉，死宣奶满解除
31,学识宝库迦巴勒幻想图书馆,,
32,幻龙残骸密约之塔,,
33,空中神域不获岛,,
34,圣教中枢伊修加德教皇厅,421,老二不要被击退进黑洞
35,博物战舰无限回廊,,
36,冰雪废堡暮卫塔,,
37,天山绝顶索姆阿尔灵峰,,
38,血战苍穹魔科学研究所,,
39,邪龙王座龙巢神殿,,
40,地脉灵灯天狼星灯塔,,
41,草木庭园圣茉夏娜植物园,,
10001,完成集团战训练！,,
10002,讨伐彷徨死灵！,,
10003,突破所有关门，讨伐最深处的敌人！,,
10004,捕获金币龟！,,
10005,驱除剧毒妖花！,,
10006,消灭恶徒团伙寄生蜂团！,,
10007,讨伐梦幻之布拉奇希奥！,,
10008,击溃哥布林炸弹军团！,,
10009,讨伐污染源头魔界花！,,
10010,讨伐坑道中出现的妖异！,,
10011,注意无敌的眷属，讨伐大型妖异！,,
10012,讨伐爆弹怪的女王！,,
10013,歼灭特殊阵型的妖异！,,
10014,制止三方混战的巨人族，守住遗物！,,
20001,伊弗利特讨伐战,,
20002,泰坦讨伐战,,
20003,迦楼罗讨伐战,,
20004,伊弗利特歼灭战,,
20005,泰坦歼灭战,,
20006,迦楼罗歼灭战,,
20007,里塔提恩强攻战,,
20008,伊弗利特歼殛战,,
20009,泰坦歼殛战,296,
20010,迦楼罗歼殛战,,
20011,莫古力贤王歼灭战,,
20012,莫古力贤王歼殛战,364,
20013,究极神兵破坏作战,1048,
20017,利维亚桑歼灭战,,
20018,利维亚桑歼殛战,,
20019,死化奇美拉讨伐战,,
20020,海德拉讨伐战,,
20021,大桥上的决斗,,
20022,拉姆歼灭战,,
20023,拉姆歼殛战,,
20024,希瓦歼灭战,,
20025,希瓦歼殛战,,
20026,艾玛吉娜杯斗技大会决赛,,
20027,奥丁歼灭战,,
20028,皇都伊修加德保卫战,,
20029,那布里亚勒斯讨伐战,,
20030,无限城的死斗,,
20031,罗波那歼灭战,,
20032,罗波那歼殛战,,
20033,俾斯麦歼灭战,,
20034,俾斯麦歼殛战,,
20035,圆桌骑士歼灭战,,
20036,圆桌骑士幻想歼灭战,,
30001,水晶塔 古代人迷宫,,
30002,巴哈姆特大迷宫 邂逅之章1,,
30003,巴哈姆特大迷宫 邂逅之章2,,
30004,巴哈姆特大迷宫 邂逅之章3,,
30005,巴哈姆特大迷宫 邂逅之章4,,
30006,巴哈姆特大迷宫 邂逅之章5,,
30007,巴哈姆特大迷宫 入侵之章1,,
30008,巴哈姆特大迷宫 入侵之章2,,
30009,巴哈姆特大迷宫 入侵之章3,,
30010,巴哈姆特大迷宫 入侵之章4,,
30011,水晶塔 希尔科斯塔,,
30012,巴哈姆特零式大迷宫 入侵之章1,,
30013,巴哈姆特零式大迷宫 入侵之章2,,
30014,巴哈姆特零式大迷宫 入侵之章3,,
30015,巴哈姆特零式大迷宫 入侵之章4,,
30016,巴哈姆特大迷宫 真源之章1,,
30017,巴哈姆特大迷宫 真源之章2,,
30018,巴哈姆特大迷宫 真源之章3,,
30019,巴哈姆特大迷宫 真源之章4,,
30020,水晶塔 暗之世界,,
30021,亚历山大机神城 启动之章1,,
30022,亚历山大机神城 启动之章2,,
30023,亚历山大机神城 启动之章3,,
30024,亚历山大机神城 启动之章4,,
30025,亚历山大零式机神城 启动之章1,,
30026,亚历山大零式机神城 启动之章2,,
30027,亚历山大零式机神城 启动之章3,,
30028,亚历山大零式机神城 启动之章4,,
30029,魔航船虚无方舟,,
20037,萨菲洛特歼灭战,,
20038,萨菲洛特歼殛战,,
30030,亚历山大机神城 律动之章1,,
30031,亚历山大机神城 律动之章2,,
30032,亚历山大机神城 律动之章3,,
30033,亚历山大机神城 律动之章4,,
42,神圣遗迹无限城市街古迹,,
43,星海空间颠倒塔,,
30034,亚历山大零式机神城 律动之章1,,
30035,亚历山大零式机神城 律动之章2,,
30036,亚历山大零式机神城 律动之章3,,
30037,亚历山大零式机神城 律动之章4,,
30038,禁忌城邦玛哈,,
20039,尼德霍格征龙战,,
20040,尼德霍格传奇征龙战,,
44,天龙宫殿忆罪宫,,
45,黑涡传说破舰岛,,
46,险峻峡谷塞尔法特尔溪谷,,
20041,索菲娅歼灭战,,
20042,索菲娅歼殛战,,
30039,亚历山大机神城 天动之章1,,
30040,亚历山大机神城 天动之章2,,
30041,亚历山大机神城 天动之章3,,
30042,亚历山大机神城 天动之章4,,
30043,亚历山大零式机神城 天动之章1,,
30044,亚历山大零式机神城 天动之章2,,
30045,亚历山大零式机神城 天动之章3,,
30046,亚历山大零式机神城 天动之章4,,
47,秘本宝库迦巴勒幻想图书馆,,
48,坚牢铁壁巴埃萨长城,,
30047,影之国,,
49,天山深境索姆阿尔灵峰,,
20043,祖尔宛歼灭战,,
20044,祖尔宛歼殛战,,
50,海底宫殿紫水宫,,
51,修行古刹星导寺,,
52,漂流海域妖歌海,,
20045,神龙歼灭战,,
53,试炼行路巴儿达木霸道,,
54,解放决战多玛王城,,
55,巨炮要塞帝国白山堡,,
20046,须佐之男歼灭战,,
20047,须佐之男歼殛战,,
56,鏖战红莲阿拉米格,,
30049,欧米茄时空狭缝 德尔塔幻境1,,
30050,欧米茄时空狭缝 德尔塔幻境2,,
30051,欧米茄时空狭缝 德尔塔幻境3,,
30052,欧米茄时空狭缝 德尔塔幻境4,,
30053,欧米茄零式时空狭缝 德尔塔幻境1,,
30054,欧米茄零式时空狭缝 德尔塔幻境2,,
30055,欧米茄零式时空狭缝 德尔塔幻境3,,
30056,欧米茄零式时空狭缝 德尔塔幻境4,,
57,恶党孤城黄金阁,,
20048,吉祥天女歼灭战,,
20049,吉祥天女歼殛战,720,
20050,神龙梦幻歼灭战,,
58,沉没神殿斯卡拉遗迹,,
30057,巴哈姆特绝境战,,
30058,失落之都拉巴纳斯塔,,
59,红玉火山狱之盖,,
60,疯狂战舰无限回廊,,
30059,欧米茄时空狭缝 西格玛幻境1,,
30060,欧米茄时空狭缝 西格玛幻境2,,
30061,欧米茄时空狭缝 西格玛幻境3,,
30062,欧米茄时空狭缝 西格玛幻境4,,
20051,白虎镇魂战,,
20052,白虎诗魂战,,
30063,欧米茄零式时空狭缝 西格玛幻境1,,
30064,欧米茄零式时空狭缝 西格玛幻境2,,
30065,欧米茄零式时空狭缝 西格玛幻境3,,
30066,欧米茄零式时空狭缝 西格玛幻境4,,
20053,火龙狩猎战,,
20054,火龙上位狩猎战,762,
61,风水灵庙岩燕庙,,
20055,月读歼灭战,,
20056,月读幽夜歼灭战,,
30067,究极神兵绝境战,,
30068,封闭圣塔黎铎拉纳大灯塔,,
62,污染庭园圣茉夏娜植物园,,
63,死亡大地终末焦土,,
30069,欧米茄时空狭缝 阿尔法幻境1,,
30070,欧米茄时空狭缝 阿尔法幻境2,,
30071,欧米茄时空狭缝 阿尔法幻境3,,
30072,欧米茄时空狭缝 阿尔法幻境4,,
30073,欧米茄零式时空狭缝 阿尔法幻境1,,
30074,欧米茄零式时空狭缝 阿尔法幻境2,,
30075,欧米茄零式时空狭缝 阿尔法幻境3,,
30076,欧米茄零式时空狭缝 阿尔法幻境4,,
20059,保镖歼灭战,,
20057,朱雀镇魂战,,
20058,朱雀诗魂战,,
64,国境防线基姆利特暗区,,
30077,乐欲之所瓯博讷修道院,,
20060,青龙镇魂战,,
20061,青龙诗魂战,,
65,水妖幻园多恩美格禁园,,
66,文明古迹奇坦那神影洞,,
67,末日暗影亚马乌罗提,,
30078,伊甸希望乐园 觉醒之章1,,
30079,伊甸零式希望乐园 觉醒之章1,,
68,异界遗构希尔科斯孪晶塔,,
69,避暑离宫马利卡大井,,
20062,缇坦妮雅歼灭战,,
20063,缇坦妮雅歼殛战,,
70,伪造天界格鲁格火山,,
71,创造机构阿尼德罗学院,,
20064,无瑕灵君歼灭战,,
20065,无瑕灵君歼殛战,,
72,遇袭集落水滩村,,
30080,伊甸希望乐园 觉醒之章3,,
30081,伊甸零式希望乐园 觉醒之章3,,
30082,伊甸希望乐园 觉醒之章2,,
